Identifier,ValidFrom,ValidTo,Level,Parent,Name_en,Name_fr,Name_de,Name_it,ABBREV_1_Text_en,ABBREV_1_Text_fr,ABBREV_1_Text_de,ABBREV_1_Text_it,ABBREV_1_Text,CODE_HIST_1_Text_en,CODE_HIST_1_Text_fr,CODE_HIST_1_Text_de,CODE_HIST_1_Text_it,CODE_HIST_1_Text,INSCRIPTION_1_Text_en,INSCRIPTION_1_Text_fr,INSCRIPTION_1_Text_de,INSCRIPTION_1_Text_it,INSCRIPTION_1_Text,RADIATION_1_Text_en,RADIATION_1_Text_fr,RADIATION_1_Text_de,RADIATION_1_Text_it,RADIATION_1_Text,REC_TYPE_1_Text_en,REC_TYPE_1_Text_fr,REC_TYPE_1_Text_de,REC_TYPE_1_Text_it,REC_TYPE_1_Text
"1","01.01.1960","","1","","Zurich","Zurich","ZÃ¼rich","Zurigo","ZH","ZH","ZH","ZH","ZH","1","1","1","1","1","","","","","","","","","","","","","","",""
"101","01.01.1960","","2","1","Bezirk Affoltern","Bezirk Affoltern","Bezirk Affoltern","Bezirk Affoltern","Affoltern","Affoltern","Affoltern","Affoltern","Affoltern","10053","10053","10053","10053","10053","","","","","","","","","","","","","","",""
"13","01.01.1960","","3","101","Stallikon","Stallikon","Stallikon","Stallikon","","","","","","10575","10575","10575","10575","10575","","","","","","","","","","","","","","",""
"2","01.01.1960","","3","101","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis","","","","","","11742","11742","11742","11742","11742","","","","","","","","","","","","","","",""
"3","01.01.1960","","3","101","Bonstetten","Bonstetten","Bonstetten","Bonstetten","","","","","","11801","11801","11801","11801","11801","","","","","","","","","","","","","","",""
"4","01.01.1960","","3","101","Hausen am Albis","Hausen am Albis","Hausen am Albis","Hausen am Albis","","","","","","11992","11992","11992","11992","11992","","","","","","","","","","","","","","",""
"5","01.01.1960","","3","101","Hedingen","Hedingen","Hedingen","Hedingen","","","","","","12249","12249","12249","12249","12249","","","","","","","","","","","","","","",""
"9","01.01.1960","","3","101","Mettmenstetten","Mettmenstetten","Mettmenstetten","Mettmenstetten","","","","","","12433","12433","12433","12433","12433","","","","","","","","","","","","","","",""
"10","01.01.1960","","3","101","Obfelden","Obfelden","Obfelden","Obfelden","","","","","","12497","12497","12497","12497","12497","","","","","","","","","","","","","","",""
"6","01.01.1960","","3","101","Kappel am Albis","Kappel am Albis","Kappel am Albis","Kappel am Albis","","","","","","12671","12671","12671","12671","12671","","","","","","","","","","","","","","",""