Lots of people,,,,,
simply cannot resist writing,,,,,some notes
at,the,top,,of,their spreadsheets
or,merging,,,,cells
Name,Profession,Age,Has kids,Date of birth,Date of death
David Bowie,musician,69,TRUE,1/8/1947,1/10/2016
Carrie Fisher,actor,60,TRUE,10/21/1956,12/27/2016
Chuck Berry,musician,90,TRUE,10/18/1926,3/18/2017
Bill Paxton,actor,61,TRUE,5/17/1955,2/25/2017
Prince,musician,57,TRUE,6/7/1958,4/21/2016
Alan Rickman,actor,69,FALSE,2/21/1946,1/14/2016
Florence Henderson,actor,82,TRUE,2/14/1934,11/24/2016
Harper Lee,author,89,FALSE,4/28/1926,2/19/2016
Zsa Zsa GÃ¡bor,actor,99,TRUE,2/6/1917,12/18/2016
George Michael,musician,53,FALSE,6/25/1963,12/25/2016
Some,,,,,
,also like to write stuff,,,,
,,at the,"bottom,",,
,,,,,too!