Duration,Value
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
7 minutes,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
2.99,56
